	Day	UseForFinalData	Well	Sample	PEG	Sex	Mouse_num	Osmolality	Species	Primer_Set	Output_Conc(copies/ul)	Accepted_droplets	Positive_dropletes	Rxn_Well_volume_ul	DropletGenerator_volume	template_input_ul	Diluted_conc(copies/ul)	dilution	Undiluted_Copies/ul	Rel_abund_sample_ddPCR	Total_sample_absolute_load_ul	Total_sample_absolute_load_ml	Total_CFU_ml
69	2024-05-10	y	B06	2_F1	2.5	F	1	402	Bacteroides thetaiotaomicron	2	316.228942871094			22	20	2.0	173.925918579102	1000	173925.918579102				
70	2024-05-10	y	C06	2_F2	2.5	F	2	527	Bacteroides thetaiotaomicron	2	87.2105331420898			22	20	2.0	47.9657932281494	1000	47965.7932281494				
71	2024-05-10	y	D06	2_F3	2.5	F	3	479	Bacteroides thetaiotaomicron	2	137.898559570312			22	20	2.0	75.8442077636719	1000	75844.2077636719				
72	2024-05-10	y	E06	5_M1	5.0	M	1	498	Bacteroides thetaiotaomicron	2	758.939086914062			22	20	2.0	417.416497802734	1000	417416.497802734				
73	2024-05-10	y	F06	5_M2	5.0	M	2	579	Bacteroides thetaiotaomicron	2	2628.43676757812			22	20	2.0	1445.64022216797	1000	1445640.22216797				
74	2024-05-10	y	G06	5_M3	5.0	M	3	503	Bacteroides thetaiotaomicron	2	951.105895996094			22	20	2.0	523.108242797852	1000	523108.242797852				
75	2024-05-10	y	H06	5_F1	5.0	F	1	488	Bacteroides thetaiotaomicron	2	794.575256347656			22	20	2.0	437.016390991211	1000	437016.390991211				
76	2024-05-10	y	A07	5_F2	5.0	F	2	461	Bacteroides thetaiotaomicron	2	140.645278930664			22	20	2.0	77.3549034118652	1000	77354.9034118652				
77	2024-05-10	y	B07	5_F3	5.0	F	3	441	Bacteroides thetaiotaomicron	2	237.884338378906			22	20	2.0	130.836386108398	1000	130836.386108398				
78	2024-05-10	y	C07	10_M1	10.0	M	1	573	Bacteroides thetaiotaomicron	2	12085.25			22	20	2.0	6646.8875	100	664688.75				
79	2024-05-10	y	D07	10_M2	10.0	M	2	651	Bacteroides thetaiotaomicron	2	1176.640625			22	20	2.0	647.15234375	100	64715.234375				
80	2024-05-10	y	E07	10_M3	10.0	M	3	641	Bacteroides thetaiotaomicron	2	1766.46520996094			22	20	2.0	971.555865478516	100	97155.5865478515				
81	2024-05-10	y	F07	10_F1	10.0	F	1	722	Bacteroides thetaiotaomicron	2	3046.55102539062			22	20	2.0	1675.60306396484	100	167560.306396484				
82	2024-05-10	y	G07	10_F2	10.0	F	2	697	Bacteroides thetaiotaomicron	2	1177.03051757812			22	20	2.0	647.366784667969	100	64736.6784667969				
83	2024-05-10	y	H07	10_F3	10.0	F	3	712	Bacteroides thetaiotaomicron	2	853.779602050781			22	20	2.0	469.57878112793	100	46957.878112793				
84	2024-05-10	y	A08	15_M1	15.0	M	1	733	Bacteroides thetaiotaomicron	2	1784.67248535156			22	20	2.0	981.569866943359	100	98156.9866943359				
85	2024-05-10	y	B08	15_M2	15.0	M	2	727	Bacteroides thetaiotaomicron	2	586.68701171875			22	20	2.0	322.677856445312	100	32267.7856445312				
86	2024-05-10	y	C08	15_M3	15.0	M	3	673	Bacteroides thetaiotaomicron	2	2600.26245117188			22	20	2.0	1430.14434814453	100	143014.434814453				
87	2024-05-10	y	D08	15_F1	15.0	F	1	788	Bacteroides thetaiotaomicron	2	272.481872558594			22	20	2.0	149.865029907227	100	14986.5029907227				
88	2024-05-10	y	E08	15_F2	15.0	F	2	784	Bacteroides thetaiotaomicron	2	507.866546630859			22	20	2.0	279.326600646973	100	27932.6600646973				
89	2024-05-10	y	F08	15_F3	15.0	F	3	860	Bacteroides thetaiotaomicron	2	848.856140136719			22	20	2.0	466.870877075195	100	46687.0877075195				
90	2024-05-10	y	A09	0_M1	0.0	M	1	455	Bacteroides ovatus	2	195.485107421875			22	20	2.0	107.516809082031	1000	107516.809082031				
91	2024-05-10	y	B09	0_M2	0.0	M	2	437	Bacteroides ovatus	2	90.6978378295898			22	20	2.0	49.8838108062744	1000	49883.8108062744				
92	2024-05-10	y	C09	0_M3	0.0	M	3	503	Bacteroides ovatus	2	433.677978515625			22	20	2.0	238.522888183594	1000	238522.888183594				
93	2024-05-10	y	D09	0_F1	0.0	F	1	370	Bacteroides ovatus	2	69.1002502441406			22	20	2.0	38.0051376342774	1000	38005.1376342773				
94	2024-05-10	y	E09	0_F2	0.0	F	2	384	Bacteroides ovatus	2	878.171691894531			22	20	2.0	482.994430541992	1000	482994.430541992				
95	2024-05-10	y	F09	0_F3	0.0	F	3	343	Bacteroides ovatus	2	207.404495239258			22	20	2.0	114.072472381592	1000	114072.472381592				
96	2024-05-10	y	G09	2_M1	2.5	M	1	535	Bacteroides ovatus	2	41.4278945922852			22	20	2.0	22.7853420257568	1000	22785.3420257568				
97	2024-05-10	y	H09	2_M2	2.5	M	2	495	Bacteroides ovatus	2	806.808227539062			22	20	2.0	443.744525146484	1000	443744.525146484				
98	2024-05-10	y	A10	2_M3	2.5	M	3	491	Bacteroides ovatus	2	330.459533691406			22	20	2.0	181.752743530273	1000	181752.743530273				
99	2024-05-10	y	B10	2_F1	2.5	F	1	402	Bacteroides ovatus	2	435.977813720703			22	20	2.0	239.787797546387	1000	239787.797546387				
100	2024-05-10	y	C10	2_F2	2.5	F	2	527	Bacteroides ovatus	2	58.829116821289			22	20	2.0	32.356014251709	1000	32356.014251709				
101	2024-05-10	y	D10	2_F3	2.5	F	3	479	Bacteroides ovatus	2	111.192474365234			22	20	2.0	61.1558609008789	1000	61155.8609008789				
102	2024-05-10	y	E10	5_M1	5.0	M	1	498	Bacteroides ovatus	2	221.428924560547			22	20	2.0	121.785908508301	1000	121785.908508301				
103	2024-05-10	y	F10	5_M2	5.0	M	2	579	Bacteroides ovatus	2	658.705078125			22	20	2.0	362.28779296875	1000	362287.79296875				
